timestamp,vehicle_id,vehicle_class,start_point,end_point,duration
1/21/2025 16:44,2760,Two Wheeler,F,D,3.994206
1/21/2025 16:44,2782,Car,B,A,1.32048
1/21/2025 16:44,2832,Car,F,D,6.117565
1/21/2025 16:44,2852,Car,F,D,5.794646
1/21/2025 16:44,2897,Bus,F,D,7.288476
1/21/2025 16:44,2898,Bus,F,D,10.359411
1/21/2025 16:44,2925,Car,F,D,6.508916
1/21/2025 16:44,2926,Car,F,D,5.554119
1/21/2025 16:44,2939,Unknown,D,E,0.336114
1/21/2025 16:44,2938,Two Wheeler,F,D,4.299013
1/21/2025 16:44,2941,person,F,D,4.355529
1/21/2025 16:44,2943,person,A,F,8.087948
1/21/2025 16:44,2946,Truck,F,D,5.542376
1/21/2025 16:44,2957,Car,F,D,6.396884
1/21/2025 16:44,2979,Two Wheeler,F,D,2.764254
1/21/2025 16:44,2976,Car,F,D,6.317478
1/21/2025 16:44,3002,Bus,F,D,9.059131
1/21/2025 16:44,3009,person,F,D,3.61393
1/21/2025 16:44,3010,person,F,D,3.614065
1/21/2025 16:44,3019,Truck,F,D,6.258897
1/21/2025 16:44,3023,person,A,E,13.775994
1/21/2025 16:44,3040,Truck,B,D,18.148447
1/21/2025 16:44,3046,Car,B,D,15.23231
1/21/2025 16:44,3048,person,A,F,9.714221
1/21/2025 16:44,3051,Car,F,D,3.523455
1/21/2025 16:44,3058,person,F,D,4.728
1/21/2025 16:44,3064,Car,E,D,4.203587
1/21/2025 16:44,3073,person,B,D,6.578661
1/21/2025 16:44,3079,Car,F,D,4.622846
1/21/2025 16:44,3118,Two Wheeler,E,A,4.643058
1/21/2025 16:44,3133,person,D,A,2.041363
1/21/2025 16:44,3158,person,E,A,4.90143
1/21/2025 16:44,3178,Two Wheeler,E,A,4.677731
1/21/2025 16:44,3180,Car,E,A,7.260875
1/21/2025 16:44,3186,Two Wheeler,E,A,3.678766
1/21/2025 16:44,3191,person,E,A,3.503573
1/21/2025 16:44,3195,Truck,B,D,8.310928
1/21/2025 16:44,3202,Two Wheeler,E,A,5.338723
1/21/2025 16:44,3209,person,E,A,5.964821
1/21/2025 16:44,3223,person,E,B,3.473795
1/21/2025 16:44,3246,Car,E,A,6.269893
1/21/2025 16:44,3272,Car,E,A,7.359031
1/21/2025 16:44,3285,person,E,A,4.85536
1/21/2025 16:44,3315,Car,E,A,6.773698
1/21/2025 16:44,3326,Two Wheeler,B,D,4.960491
1/21/2025 16:44,3345,Car,E,A,5.355542
1/21/2025 16:44,3359,person,B,A,21.164553
1/21/2025 16:44,3376,Car,E,A,5.142128
1/21/2025 16:44,3378,Bicycle,F,E,5.587029
1/21/2025 16:44,3379,person,F,E,5.367182
1/21/2025 16:44,3388,person,E,A,4.410919
1/21/2025 16:44,3403,person,E,A,4.163962
1/21/2025 16:44,3404,Two Wheeler,E,A,4.440189
1/21/2025 16:44,3408,person,E,B,1.71182
1/21/2025 16:44,3417,Two Wheeler,B,D,5.663618
1/21/2025 16:44,3424,Two Wheeler,B,D,4.617451
1/21/2025 16:44,3467,person,A,B,17.515093
1/21/2025 16:44,3457,person,A,F,13.732297
1/21/2025 16:44,3474,person,E,A,2.4813
1/21/2025 16:44,3475,person,E,A,2.423321
